Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer,30 or more years,147000.0,Yearly,147000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,80000.0,Yearly,80000.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist,15-17 years,200000.0,Yearly,200000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,9-11 years,54000.0,Yearly,54000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Full-stack developer,3-5 years,65000.0,Monthly,780000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,12-14 years,70000.0,,70000.0
No,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Student,6-8 years,30000.0,,30000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",500 to 999 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Engineering manager;Front-end developer;Full-stack developer;Product manager;System administrator,9-11 years,79000.0,Yearly,79000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist,0-2 years,85000.0,,85000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,74000.0,,74000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,90000.0,,90000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,110000.0,Yearly,110000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Front-end developer;Full-stack developer,3-5 years,90000.0,,90000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;QA or test developer,3-5 years,55000.0,Yearly,55000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,110000.0,,110000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,3-5 years,50000.0,,50000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,12-14 years,100000.0,Yearly,100000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;QA or test developer;System administrator,9-11 years,145000.0,Yearly,145000.0
Yes,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Student,3-5 years,66000.0,Yearly,66000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,24000.0,Weekly,1200000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;System administrator,12-14 years,150000.0,,150000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,45000.0,Yearly,45000.0
No,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Student,3-5 years,102000.0,Yearly,102000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,Data scientist or machine learning specialist,3-5 years,80000.0,Yearly,80000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Engineering manager;Full-stack developer,27-29 years,150000.0,Yearly,150000.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",20 to 99 employees,Data scientist or machine learning specialist;Engineering manager;QA or test developer,15-17 years,150000.0,,150000.0
No,No,United States,No,Employed full-time,Some college/university study without earning a degree,,10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;QA or test developer;System administrator",15-17 years,90000.0,Weekly,2000000.0
Yes,Yes,United States,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;System administrator,12-14 years,62400.0,,62400.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Game or graphics developer,15-17 years,140000.0,Yearly,140000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist,30 or more years,95000.0,Yearly,95000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",,"10,000 or more employees",Data scientist or machine learning specialist,6-8 years,110000.0,Yearly,110000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",500 to 999 employees,Data scientist or machine learning specialist,3-5 years,55000.0,Yearly,55000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,98000.0,,98000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,18-20 years,122000.0,Yearly,122000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,18-20 years,117000.0,Yearly,117000.0
